sex;source;likes;text;label
Ж;Катя Конусова;4;"Очень грустно, что женщины сами себя хейтят за кесарево. И потом даже придумывают всякую дичь типа ""я котёнка не рожала, я там рядом полежала"". ??";0
Ж;Катя Конусова;3;Дамир: - при онко клетки организма нападают на самих себя ???????суть рака в том, что клетки теряют способность к апоптозу (погибать) и неконтролируемо размножаются, накапливая мутации и не успевая дифференцироваться, при этом защитные клетки организма не могут распознать поломку и «уничтожить» раковую клетку , так как снаружи она выглядит нормальной, О чем тут можно говорит если  человек не знает даже что он «лечит»  P.S. Я студент медик 4 курса, если что);4
Ж;Катя Конусова;7;Блин, то чувство, когда реально по крупицам собираешь своё клиническое мышление на протяжении многих лет, сдаёшь миллион экзаменов, миллион раз доказываешь, что ты достоин лечить. А люди верят вот таким блогерам. Я бы вообще запретила распространение медицинских рекомендаций не врачами. Хотите заниматься здоровьем людей, будьте добры, докажите что Вы имеете на это право;4
Ж;Катя Конусова;0;Жду;0
М;Катя Конусова;201;А им нормально, что глобальный тикток почти ничего общего с китайским не имеет?;0
Ж;Катя Конусова;58;Он не принадлежит сша, это главная для них причина.;0
Ж;Катя Конусова;5;[id595701539|Draco], я все пыталась попасть в китайский тик-ток. Но мне подсовывают только русский:(;0
Ж;Катя Конусова;18;[id595701539|Draco], ооой, у них было специальное заседание Парламента не так давно, на которое пригласили главу ТикТока. Так это было похоже на собрание мартышек вокруг академика наук!?? Такой кринж. Он восемь часов пытался хоть что-то дедам объяснить, но, видимо не вышло;1
Ж;Катя Конусова;12;[id246985490|Юлия], ???? это было феерично) а самое печальное, что это они решили, что он дурак ?? Я представляю, как ему тяжело было в кругу дураков нести учение. Силы были не равны ??;0
Ж;Катя Конусова;1;[id711414049|Ольга], старики его задавили тупост. Я плакала с вопросов ??;0
М;Катя Конусова;0;[id595701539|Draco], ну так-то, глобальный титок контролируется китайской компанией, они много лет уже судиться с штатами. Тикток очень боится потерять американский рынок, подлинному уже все им предоставил, курсе алгоритма подборки. Ну и ещё одна причина как раз таки в данных, которых в любом случае, контролируются и просматриваются китайской компанией;4
Ж;Катя Конусова;18;Маразм крепчает;0
Ж;Катя Конусова;51;А наш Милонов запрещал топот котов и громкий секс;0
Ж;Катя Конусова;121;[id270481294|Котейка], так это из-за него у меня секса нет и кот не топает?;0
Ж;Катя Конусова;16;[id87798649|Маргарита], но-но-но! Он только громкий секс запретил! Тихонько теребонькать можно;0
Ж;Катя Конусова;1;[id270481294|Котейка], тихонько это для скромных. Мне или все или ничего) вот ничего и нет ??;0
Ж;Катя Конусова;1;[id270481294|Котейка], что-то мне подсказывает, что в США такое  уже было. Или будет;0
Ж;Катя Конусова;0;[id270481294|Котейка], ??????;0
М;Катя Конусова;13;Представляю ,как полыхнет у наших мелких шаболд и их подсосов(ой,то есть подписчиков) с их говноконтентом,если подобный шлак закроют у нас. Тик-срак для идиотов.;1
М;Катя Конусова;31;;0
Ж;Катя Конусова;59;[id125673271|Алексей], нифига се у вас словарный проблев.;0
М;Катя Конусова;3;[id196756321|Юлиана], тоже целыми днями смотришь местно говно и смеёшься с их юмора?;0
Ж;Катя Конусова;59;[id125673271|Алексей], мне теперь точно понятно чем вы занимаетесь целыми днями, вместо всего остального, что есть в жизни... Вы так осведомлены. У вас коллекция скриншотов даже есть. Может, вам нравится все это?;3
Ж;Катя Конусова;3;[id125673271|Алексей], они просто перейдут в телеграм;0
Ж;Катя Конусова;28;[id125673271|Алексей], держу в курсе, но подобное дерьмо есть в любых соц сетях;4
М;Катя Конусова;0;[id196756321|Юлиана], нет,если бы я там сидет,мои друзья и знакомые спросили: -Ты чо долб*ёб?;1
Ж;Катя Конусова;28;[id125673271|Алексей], странные у вас друзья) определяют ваш долбоебизм уровнем в каких соц сетях вы сидите и на какие приложения подписаны ????;4
Ж;Катя Конусова;12;[id125673271|Алексей], а зачем спрашивать, если и так понятно???Вы, объективно, психически неуравновешенный, неудовлетворённый жизнью человек?????;1
Ж;Катя Конусова;22;[id125673271|Алексей], кстати, вы так выражаетесь про несовершеннолетних девушек. Они школьницы, а вы взрослый мужчина... И у вас столько к ним агрессии и оскорблений.;0
Ж;Катя Конусова;10;Давно у них такие идеи были, неудивительно;0
Ж;Катя Конусова;6;Ооо гениальные идеи в штате везде бы так ??;0
Ж;Катя Конусова;71;Есть два типа людей:;0
Ж;Катя Конусова;11;Лишили людей права деградировать, проблемка, однако;0
Ж;Катя Конусова;52;[id1722218|Julie], вообще-то развивающего и образовательного контента там предостаточно, нужно только желать его видеть в своей ленте рекомендаций. Если вам показывали исключительно видео для деградантов, значит вам они нравились.;4
Ж;Катя Конусова;6;[id635058245|Anthem], определенно, именно поэтому, несмотря на то, что я там даже не зарегана) И в чем прикол искать иголку в стоге сена, когда полно других  ресурсов? На том же ютубе концентрация развивашек сильно повыше будет;4
Ж;Катя Конусова;26;[id1722218|Julie], то есть сервисом вы не пользовались, но взялись его судить и даже всем сообщать, что люди там исключительно деградируют? Вау.  И о какой иголке в стоге сена вы говорите, если ежемесячный актив в американском Тиктоке это 150 миллионов человек? Не крупновата иголочка?  Это огромная площадка для успешной рекламы бизнеса, в том числе (и преимущественно) малого, источник множества рабочих мест и источник дохода для многих людей. Нет ничего хорошего в его запрете даже в 1 штате.  С ютубом сравнивать смысла вообще не вижу, форматы совершенно разные. С YouTube shorts еще куда ни шло, но последнее это практически перезалив видео из Тиктока. Как и рилсы, как и видео в ВК.;6
Ж;Катя Конусова;1;[id635058245|Anthem], для вас развивающий контент = реклама бизнеса?;0
Ж;Катя Конусова;15;[id1722218|Julie], эээ… Как вообще можно было сделать такой вывод? ??????? Естественно, у сервиса не одно единственное назначение. Там размещается и обучающий контент, и развивающий, и развлекающий, и обзоры товаров, и реклама, и стримы, и рекомендации книжного сообщества, и целое множество других «и», в том числе и контент, не несущий особого смысла.;5
Ж;Катя Конусова;1;[id635058245|Anthem], тогда к чему вы про это написали, вообще?;0
Ж;Катя Конусова;10;https://vk.com/sticker/1-53360-256;0
Ж;Катя Конусова;1;[id635058245|Anthem], ну-ну, удобный способ соскочить, когда внезапно осознал, что накатанная простыня вообще не в тему);1
Ж;Катя Конусова;16;[id1722218|Julie], вообще это была попытка донести до вас, что Тикток это не сервис для людского деградирования, и блокировка его даже в одном штате для обычных людей не «проблемка», а реальная проблема. Но сейчас я вижу, что это просто было тратой моего времени.  Ну ладно, может у вас где-то все-таки эти сведения отложатся, и когда-нибудь потом истина все же до вас дойдёт.;4
Ж;Катя Конусова;0;[id635058245|Anthem], все возможно. Может, и до вас когда-нибудь дойдет, что площадка для продвижения одних точно так же может быть сервисом для деградации других, а главное, что данный сервис далеко не уникален ни в этом, ни в других аспектах);4
Ж;Катя Конусова;1;Как определить маразматика:;1
Ж;Катя Конусова;24;Ура туда их теперь не мы одни без тиктока  Ждём пока омериканцы тоже начнут качать Скарлет и устанавливать вирусы без тиктока мы их научим;0
Ж;Катя Конусова;0;Будет;0
Ж;Катя Конусова;0;Ни горячо, ни холодно??пусть во всех странах запретят.;0
Ж;Катя Конусова;2;Я думала что запретили тик ток из-за того, что он вызывает зависимость, там дохера дичи, полит.религиозной хуйни и буквально мозг атрофируется…..но нет)0 партия китая;0
Ж;Катя Конусова;0;[id316168023|Alisha], его запретили тк он составил серьезную конкуренцию инсте и ютьюб, они так отстаивают национальные интересы в плане бизнеса.;4
Ж;Катя Конусова;3;[id1632628|Елена], Ютьюб не аналог тиктока. И инста больше по фоткам. Хотя подобных приложений с короткими видосиками уже уйма просто. И хоть бы один нормальный аналог Инстаграма был!;4
Ж;Катя Конусова;0;[id709230159|Вершительница], где я писала про аналоги? Я пишу о том что тик ток оттянул аудиторию у этих двух ресурсов, закрыв тик ток в сша, аудитория которая не привыкла заморачиваться с впн начнет листать шортсы в ютьюб и рилсы в инсте.;4
Ж;Катя Конусова;0;Всемирные соревнования в запреобесии. Кто больше?;0
Ж;Катя Конусова;0;Рс;0
Ж;Катя Конусова;3;Вы бы видели переговоры представителя тикток и этих людей. Они задавили дядю максимально дебильный вопросами, постоянно перебивая и не давая ему даже осознать что они имеют ввиду;0
Ж;Катя Конусова;11;Как Россия запрещает Инстаграм, то это ужасное тоталитарное государство, как США запрещает иностранную соцсеть , то это защита безопасности и демократии ?????? двойные стандарты;4
Ж;Катя Конусова;1;[id174891445|Нигина], классика ??;0
Ж;Катя Конусова;1;"[id174891445|Нигина], то же самое, что с иностранными агентами в Грузии) ""Это другое!""??";0
Ж;Катя Конусова;0;[id240126213|Юлиана], ага ??;0
Ж;Катя Конусова;0;https://t.me/SovpaloFreeBot?start=r03820909320  Кому не сложно, подпишитесь в тг на 2 канала по ссылке(потом можно отписаться). Мне для ответов на огэ нужно.;0
Ж;Катя Конусова;1;Свобода слова, говорили они, а теперь запрещают людям передавать свои личные данные коммунистической партии Китая.;0
Ж;Катя Конусова;52;Ее ребенок -ее дело;0
Ж;Катя Конусова;60;"[id20234192|Ксенiя], так она - медийная персона, на которую начнут равняться другие, считать, что это хорошо и нормально бросать ребёнка своего. И часто кто говорит: ""мой ребёнок - моё дело"", потом же его и убивает, либо доводит до истощения";4
Ж;Катя Конусова;56;[id2925845|Алла], на мой взгляд, если человек после просмотра ее сторис придет к такому выводу , то это не умный человек. И  он/она и без подобной блогерши найдет себе плохой пример для подражания. Но это сугубо мое мнение , не навязываю );4
Ж;Катя Конусова;40;[id20234192|Ксения], ребенок — не вещь, так что дело общественное;0
Ж;Катя Конусова;13;[id471035176|Алиса], я считаю, что пока ребенок сыт , здоров и с его моральным состоянием все нормально , дело матери, как его воспитывать. Я бы как эта блогер поступить не смогла , но все равно считаю, что это ее право и ее личное дело . Может этому ребенку лучше с няней будет , чем с тусовщицей. В любом случае , решать ей , а не нам.;4
Ж;Катя Конусова;41;[id20234192|Ксения], вы наверное путаете с «ее тело-ее дело». Ребёнок - это отдельный не самостоятельный человек и делать с ним что угодно нельзя.;4
Ж;Катя Конусова;0;[id8753660|Юлия], я не говорю про что угодно. Есть границы;0
Ж;Катя Конусова;25;[id20234192|Ксения], нет, решать не ей. Ребенок — не собственность, чтобы каждый с ним обходился как хотел, он такой же гражданин, имеющий права, как и она. У нее просто есть _обязанность_ до 18 лет его обеспечивать и воспитывать. Но делать с ним все, что вздумается, потому что это «ее собственный ребенок» она не может. Он просто на ее попечении, а не предмет, который она купила  Мы также не имеем понятия, насколько он там здоров и сыт. А уж то, что ребенку, брошенному матерью морально хуже, чем с ней — это очевидный факт;4
Ж;Катя Конусова;3;[id471035176|Алиса], я в посте не увидела , чтоб его в какие-то жуткие условия бросили , поэтому и не берусь судить. Если он там страдает морально из-за отсутствия мамы или есть  отказывается , то согласна , что это плохой поступок. Но может он с этой няней чувствует себя лучше , чем с матерью, которая вечно пропадает. Многих детей воспитывают бабушки и няни с самого юного возраста.  Я своего ребёнка не могу и на три дня оставить спокойно, но если для нее это норм , то может с няней правда не так плохо время проводить? Я к тому , что я не понимаю всеобщего обсуждения этой ситуации без всех данных;0
Ж;Катя Конусова;4;[id20234192|Ксения], а есть еще вариант не пропадать вечно, а понести ответственность за ребенка, которого родила. Это, собственно, и возмущает;0
Ж;Катя Конусова;0;[id471035176|Алиса],  к сожалению, не все такие ответсвенные.);0
;Катя Конусова;580;нуууу такое конечно, сначала подумала ничего страшного, а потом глянула фото ??;0
Ж;Катя Конусова;45;[club211268930|SMM | ПРОДВИЖЕНИЕ | ОФОРМЛЕНИЕ ВК], ну она просто забыла предупредить няню , чтобы выкладывала только счастливое лицо малыша. Так-то дети и с мамами плачут в таком возрасте, когда чего-то хотят или что-то беспокоит ( зубы, например , вылезают и прочее);5
Ж;Катя Конусова;154;[id9028339|Анна], да тут скорее дело не в том, что он плачет, а в условиях. Если бы это была бедная семья, то ок, но если мамаша отдыхает в Дубае, а ребёнок, пусть и на Бали, но фиг пойми где, да еще и на почти постоянной основе с чужими людьми — ну такое;4
Ж;Катя Конусова;3;[id9028339|Анна], а где вы видите ,что он плачет;0
Ж;Катя Конусова;1;[id500292437|Marina], тут показалось , что плачет , даже если показалось - это не суть . Я имела ввиду , что если бы нянька наделала красивых инстафоток , вряд ли бы было столько хейта. А тут обычные фотки, не гламурные, как у мамаши .;0
Ж;Катя Конусова;0;[id287821968|Екатерина], а муж у Яны есть или разбежались???;0
Ж;Катя Конусова;4;[id634901602|Elina], я вообще впервые в этой записи увидела про нее, я хз, кто это вообще ??????;0
Ж;Катя Конусова;0;Ааа, ну ясно);0
М;Катя Конусова;0;[id9028339|Анна], мне вообще кажется, что тут он смеётся;0
М;Катя Конусова;244;Ничего, местный язык выучит, другую тётю будет мамой звать ??;0
Ж;Катя Конусова;53;Если ребёнку в кайф, его там не обижают и ухаживаю, то всё норм.;4
Ж;Катя Конусова;141;[id151746841|Ameli], а как понять, если тебя нет на месте, обижают ли твоего ребенка в твое отсутствие и в кайф ли ему? Судя по фото ребенок достаточно маленький, (года 3?) объективно оценить обстановку и рассказать матери о проблемах вряди ли может. Но если судить со стороны живой и ладно, то да- маму малыша можно не осуждать.;6
Ж;Катя Конусова;14;[id185089428|Анастасия], 1,5 года;0
Ж;Катя Конусова;10;Блин я таки и думала что выбросила ребёнка на Бали;0
Ж;Катя Конусова;337;"Ужас, зачем рожать, если не нужен ребёнок, чужая страна, неизвестно что сделают с ребёнком. ""я выбираю время в пользу себя, а не ребёнка"". Ну как бы больше говорить не о чем.";4
Ж;Катя Конусова;214;[id9761649|Юлия], я бы так даже свою собаку не оставила, а тут ребенок….;4
Ж;Катя Конусова;83;[id57028165|Юлия], вот вот. Да мама человек, да она имеет право отдыхать, но когда ребёнок в безопастности и обеспечен всем необходимым, одно дело пара часов в день или выходные для себя, другое уехать бог знает куда и там оставить.;5
Ж;Катя Конусова;11;[id57028165|Юлия], вот именно, я бы не хотела что бы даже мой кот сидел в  комнате в таких условиях, а тут малыш ??????;4
Ж;Катя Конусова;5;[id57028165|Юлия], поколение ментально нездоровых женщин, которые бисер мечут на мужей и детей, а превратившись в пожилых женщин, начинают поучать как оно нужно по совести жить, забыв что так и не прожили жизнь, которую так хотели прожить, все отдали мужьям и детям. Где-то недалечко плачет Маслоу с его пирамидой));4
Ж;Катя Конусова;0;[id9761649|Юлия], хотят люди и рожают. У всех разные представления о норме;4
Ж;Катя Конусова;6;[id9761649|Юлия], не зрелые мамы просто) так сделает только не зрелый человек) определено у нас общество больное и уже становится «через чур» свободным в выборе своих действий. Не боятся незащищенного человека (ребенка) оставить с посторонними людьми и тд.  Объяснимо, когда ты обеспечил безопасность ребенку (няню, родного человека рядом) и уехал по делам своим*);5
Ж;Катя Конусова;3;[id2255328|Екатерина], блин, ну вы серьезно что ли? Сравнивать деревню на Бали и няню не говорящую по-русски, и детский лагерь, где 10500 взрослых людей, вожатые, закрытая территория,с камерами и охраной? Ваши философские рассуждения конечно высоки, только в жизни не применимы к сожалению;5
Ж;Катя Конусова;0;[id57028165|Юлия], выглядит как «вы одни все дураки не лечитесь, а я стою красивая в белом пальто». Что для вас понятие нормы?;0
Ж;Катя Конусова;9;[id2255328|Екатерина], то как это выглядит для вас-лишь ваше отражение. Я считаю небезопасным оставлять ребенка с малознакомым человеком, в другой стране, где у вас нет полиса, чтобы поехать в больницу, где ты не можешь приехать к ребенку, если что-то случалось, потому что ты блин в другой стране. Это безответственно, она могла взять ребенка с собой хотя бы в Дубай, и там нанять няню. Если вам нужно объяснять ненормальность этого поступка, то мне не о чем с вами говорить больше. Вы со своими детьми вообще можете делать что угодно;5,2
Ж;Катя Конусова;0;[id57028165|Юлия], вы в вашем комментарии просто взяли и присобачили лишних фактов: отсутствие полиса, малознакомого человека. Если вам нужно объяснять что это значит с позиции психологии, то вам определенно есть над чем поработать.;5,2
Ж;Катя Конусова;45;Ему явно не прикольно Оставлять ребенка с няней норм, но не в таких условиях;4
Ж;Катя Конусова;56;Для ребенка мама самый важный человек в жизни;0
Ж;Катя Конусова;405;Ну а нас к бабушкам отправляли на лето, где туалет на улице и что?)и не было ежедневных видеозвонков , да телефонов простых даже не было, про нас благополучно забывали.а тут как будто ребенка одного оставили на улице…. Бросила ребенка… что за бред.;5
Ж;Катя Конусова;635;[id1054673|Алиса], ну так одно дело отдавать родственникам, у которых мать воспитывалась и она понимает ± что и как будет ребёнок, а другое отдавать незнакомому человеку бог знает где;4
Ж;Катя Конусова;511;[id1054673|Алиса], полуторогодовалых к бабушке на лето? Или всё-таки уже более взрослых? Давайте понимать, что это две разные вещи;4
Ж;Катя Конусова;57;[id429722435|Елизавета], ну если это няня то там скорее всего подписан контакт и она отвечает за ребенка. Сколько случаев что родные плохо следили, потому что они ничем не обязаны. Я не вижу ничего страшного оставить ребенка с няней , которую он знает и привык.;5
Ж;Катя Конусова;109;[id1054673|Алиса], какой контракт на Бали, Вы о чем, Вас не смущает на фото жилье и пол где сидит ребёнок? А Вы про контракты.;4
Ж;Катя Конусова;71;[id1054673|Алиса], к бабушкам! К родному человеку, который своего внука в попу целует и любит.. А тут чужой человек;4
Ж;Катя Конусова;17;[id373139480|Дарья], ой не всегда))) иногда это каторга;0
Ж;Катя Конусова;40;[id41443430|Наталья], да не важно в каком возрасте, вы утрируете и видите только негативные стороны.  Вы забываете о том что ясли есть и с полугода, а там тоже чужие люди следят за детьми. Уж молчу о том что это не наше дело судить чужую семью;5
Ж;Катя Конусова;18;[id1054673|Alisa], а сколько случаев когда няня жестока к ребёнку или просто наплевательски относится?;4
Ж;Катя Конусова;47;[id373139480|Дарья], да не отдают особо никуда детей до 2,3 лет. С родителями все сидели или бабушки приезжали и сидели с нами, пока мама на работе. Никого не знаю, кто раньше 5 лет в деревне без родителей бегал.;4
Ж;Катя Конусова;22;[id373139480|Дарья], а что родные хрен положить не могут? Вот только недавно был скандал , бабушка убила ребенка. Не важно кто, если ты доверяешь и ребенок знает человека, это не криминал оставить ребенка с ним.;5
Ж;Катя Конусова;14;Это совсем на  маму не похоже. Позор!!!!;0
Ж;Катя Конусова;9;[id711166373|Ольга], если человек все время боится сделать что-то не так, совершить ошибку, то он, даже не подозревая об этом, делает самую большую ошибку в своей жизни. Она пока живёт как считает нужным. Это её жизнь, а вы не её мама. Вы не на её месте.;4
Ж;Катя Конусова;14;"Что за болезнь такая""  блогер ""?";0
Ж;Катя Конусова;4;[id181312802|Алёна], она зарабатывает рекламой. Вы тоже чем-то зарабатываете. Каждый идёт своим путём.;0
Ж;Катя Конусова;127;Мама немношк притомилась от тяжкого блогерского труда на Бали и нуждается в отдыхе в Дубаи, что непонятного???;0
Ж;Катя Конусова;2;[id8753660|Юлия], так может и не отдых там совсем, а очередной балкон, куда уж там с ребёнком ?????;0
Ж;Катя Конусова;36;Выходят же девочки из декрета спустя полгода после рождения ребёнка и что, сильно Вы их осуждаете?;4
Ж;Катя Конусова;13;[id305392924|Анна], ну эти девочки которые выходят на работу не пропагандируют это на миллионную аудиторию;4
Ж;Катя Конусова;251;[id305392924|Анна], бросить ребёнка в чужой стране, с чужой тёткой и уехать с Бали в Дубаи. Это же одно и тоже, что уйти на работу отдав ребёнка в ясли или бабушке? Ну Вы не передергивайте.;4
Ж;Катя Конусова;10;[id99838977|Кристина], а какая разница на миллион или на десять человек? Бабушки, тети, няни - это нормальная практика. Бросить- отказаться от ребенка, от его содержания. А оставить на няню на какое-то время и продолжить обустраивать свое и его будущее- это НЕ бросить. Или по-Вашему если родила, то надо в 4 стенах закрыться и, простите, даже в туалет с ребенком ходить?;6
Ж;Катя Конусова;4;[id305392924|Анна], и на отдых без детей уезжают, оставляя на месяц с кем-то. И на лето у бабушек. Это нормально. А вот оставить с нашей на Бали- катастрофа, ага??;4
Ж;Катя Конусова;31;[id94798316|Мария], есть разница. Няня чужой человек. Не известно как к ребёнку относится её муж, какие ещё взрослые вхожи в дом. Тут своим не доверяешь оставлять, а это совсем чужой человек, в чужой стране и с другим менталитетом.  И потом няня это наёмный сотрудник, а бабушки/дедушки априори любящие ребёнка взрослые, которые заинтересованы в его благополучии, а не финансовой стороной вопроса.;5
Ж;Катя Конусова;2;[id8300838|Лилия], ну-ну??;0
Ж;Катя Конусова;1;[id99838977|Кристина], зачастую все эти разговоры появляются на месте очень глубоко спрятанной зависти, и многие хотят быть узнаваемыми и зарабатывать блогерством (хотя под этим понимается безусловно заработок рекламой и более того это не так легко, как многие думают);0
Ж;Катя Конусова;0;[id94798316|Мария], ни-ни;0
Ж;Катя Конусова;6;[id8300838|Лилия], а если бабушка против? А если бабушки нет? Умерла к примеру бабушка. Попробуйте такой вариант покрутить. Жизнь то она не квадрат с четкими параметрами, жизнь то она разная. А если любви и заботы от няни больше, чем от условной бабушки, которая по каким-то причинам недолюбливает внука. Как вариант тоже имеет место быть.;5
Ж;Катя Конусова;24;[id2255328|Екатерина], покручиваю ежедневно в реальности, прикиньте)  Социально активный блогер в вакууме живёт?  Нет других родственников, подруг? Нет финансов нанять няню с возможностью перемещения вместе с блогером?) При том, что если что-то случится с  ребёнком, мать будет нести ответсвенность согласно коддексу РФ, а не опираясь на ваши допущения разных вариантов;5
Ж;Катя Конусова;8;Я зашла к ней на страницу и ребёнок с ней в Дубае судя по сториз. Чё то ничего не пойму;0
Ж;Катя Конусова;2;[id99838977|Кристина], Катерина и её команда байтит на комменты);0
Ж;Катя Конусова;2;Кто это эта кукушка?;1
Ж;Катя Конусова;55;Показательная порка нынче в моде. Все хотят подать себя ангелами, разведя бестолковые разговоры о жизни других. Интересно, как часто люди думают и оценивают свои поступки в жизни, а не поступки других людей? Ох, о чём это я, люди всего лишь люди… и так и хочется спросить, поливая помоями мать, ни слова про отца…;0
Ж;Катя Конусова;59;А оставлять детей с нянями на некоторое время - это уже «бросать»? Полиция идеальных мамаш уже тут как тут;4
Ж;Катя Конусова;58;[id938930|Анастасия], одно дело оставить и уехать на работу-а другое, в другой стране оставить;4
Ж;Катя Конусова;9;[id57028165|Юлия], думаю, если бы вы получали, сколько получает её няня, вы бы с радостью остались с её ребёнком, вряд ли бы даже осуждали. Скорее наоборот, за постоянный присмотр заработали больше денег.;0
Ж;Катя Конусова;22;[id2255328|Екатерина], а причем тут позиция няни? Я сейчас рассуждаю с позиции родителя, который оставляет малолетнего ребенка в другой стране. Если ему станет плохо? Она что, телепортируется? Без мамы в больницы принять не могут И еще куча примеров, почему это безответственно так оставлять детей;5
Ж;Катя Конусова;5;[id2255328|Екатерина], у вас прям четкое убеждение, что все мечтают о больших деньгах?);0
Ж;Катя Конусова;0;[id297935318|Валерия], безусловно не все, но человек увлеченный своей жизнью вряд ли способен на едкие комментарии в адрес женщины/мужчины, которых он не знает, а видит лишь то что хочет видеть.;0
Ж;Катя Конусова;3;[id57028165|Юлия], ну додумаете в конце концов нотариальную доверенность на ребёнка. А как группы детские выезжают в лагерь, экскурсионный тур без родителей?;4
Ж;Катя Конусова;8;[id2255328|Екатерина], как-то вы с денег резко перешагнули на увлеченность жизнью. Я не успеваю;0
Ж;Катя Конусова;0;[id297935318|Валерия], добрый вечер, прошу не опаздывать);0
Ж;Катя Конусова;6;[id2255328|Екатерина], честно, сейчас я прослезилась. Моему ребёнку почти 3. И ни одни деньги мира/тусовки не заставят оставить ребёнка на несколько дней с другим человеком. Ребёнку нужна счастливая мама, но тут главное слово НУЖНА. И нужна тут, а не в другой стране.  Но что тут сказать, у всех разные ценности по жизни.;4
Ж;Катя Конусова;0;[id131903912|Алина], мне так радостно, что фразы постороннего человека вызывают у вас такие яркие пограничные эмоции!;0
Ж;Катя Конусова;2;Это ее дело …;0
Ж;Катя Конусова;2;Так у неё ребёнок с ней +ее родителями +дочкой няни в Дубае??;5
Ж;Катя Конусова;46;Социальная роль - путешественница ????;0
Ж;Катя Конусова;47;У меня всегда только 1 вопрос : нахрена они рожают ? Что бы что ? Ребенок совсем маленький и ему очень не повезло с матерью. Очередная блохерша дура, что тут сказать. Жаль малыша :(;1
Ж;Катя Конусова;1;[id7959445|Таня], чтобы контент(;0
Ж;Катя Конусова;57;Поражает просто попытки прикрыть свою эгоистичность, безответственность и безразличие - чужой токсичностью. Не готов к детям - предохраняйся, благо способов куча. Гуляй, живи в свое удовольствие на все 24/7.;2
Ж;Катя Конусова;3;[id9761649|Юлия], а если родил, то сиди с ним до 18 лет и везде за ручку водить;0
Ж;Катя Конусова;3;[id15980346|Юлия], я даже отвечать на Ваш выпад не буду. Вопрос был в другом и Вы этого не увидели. Хорошего вечера.;0
Ж;Катя Конусова;6;Вот если бы больше участвовала в жизни малыша и реально проживала с ним больше моментов , то ее бы пример вдохновлял, тк она же типа не только мама, но и тд и тп, но тут , лично меня, даже близко нет.;0
